SIREN;NIC
15750599;35
15750599;35
24075525;14
24075525;14
24075970;20
24075970;20
37322062;128
37322062;128
38694345;18
38694345;18
38695318;14
38695318;14
38709754;14
38709754;14
38713343;10
38713343;10
38726980;14
38726980;14
38728515;16
38728515;16
38753661;16
38753661;16
38765988;19
38765988;19
38851168;13
38851168;13
38877452;11
38877452;11
38948337;19
38948337;19
38963815;14
38963815;14
38980165;13
38980165;13
38982054;17
38982054;17
38989059;19
38989059;19
38998498;18
38998498;18
39010467;15
39010467;15
39012620;17
39012620;17
39013420;11
39013420;11
39023734;13
39023734;13
39041058;15
39041058;15
39042528;16
39042528;16
39053988;18
39053988;18
39079579;15
39079579;15
39101373;15
39101373;15
39108626;19
39108626;19
39114996;18
39114996;18
39125893;14
39125893;14
39133228;13
39133228;13
39200225;17
39200225;17
39208095;16
39208095;16
39210075;14
39210075;14
39218169;17
39218169;17
39219233;10
39219233;10
39257795;11
39257795;11
39259668;18
39259668;18
39265483;14
39265483;14
39269329;15
39269329;15
39276506;19
39276506;19
39277868;12
39277868;12
39279203;10
39279203;10
39282884;12
39282884;12
39288790;15
39288790;15
39298351;14
39298351;14
39311493;17
39311493;17
39317615;19
39317615;19
39335211;15
39335211;15
39338355;17
39338355;17
39364104;16
39364104;16
39383211;16
39383211;24
43821198;17
43821198;17
43908524;10
43908524;10
43912872;17
43912872;17
45720257;18
45720257;18
56800659;957
56800659;1682
58811381;35
58811381;35
64800246;15
64800246;15
66307984;14
67500983;43
67500983;43
70705785;15
85780534;13
85780534;13
86980455;41
86980455;41
86980455;108
86980455;108
86980455;124
86980455;124
86980455;132
86980455;132
86980455;140
86980455;140
120020011;33
120020011;33
120020011;66
120020011;66
120020011;116
120020011;116
120020011;157
120020011;157
120020011;165
120020011;165
120020011;173
120020011;173
120020011;181
120020011;181
120020011;199
120020011;199
120020011;207
120020011;207
120020011;231
120020011;231
120020011;322
120020011;322
120020011;397
120020011;397
120020011;405
120020011;405
120020011;439
120020011;439
120020011;447
120020011;447
120020011;454
120020011;454
120020011;462
120020011;462
120020011;470
120020011;470
120020011;488
120020011;488
120020011;496
120020011;496
120020011;504
120020011;504
120020011;520
120020011;520
120020011;538
120020011;538
120020011;546
120020011;546
120020011;553
120020011;553
120020011;579
120020011;579
120020011;587
120020011;587
120020011;603
120020011;603
120020011;629
120020011;629
120020011;660
120020011;660
120020011;686
120020011;686
120020011;694
120020011;694
120020011;728
120020011;728
120020011;744
120020011;744
120020011;769
120020011;769
120020011;785
120020011;785
120020011;827
120020011;827
120020011;876
120020011;876
120020011;926
120020011;926
120020011;975
120020011;975
120020011;983
120020011;983
120020011;1015
120020011;1015
120020011;1049
120020011;1049
120020011;1064
120020011;1064
120020011;1114
120020011;1114
120020011;1148
120020011;1148
120020011;1155
120020011;1155
120020011;1171
120020011;1171
120020011;1213
120020011;1213
120020011;1254
120020011;1254
120020011;1304
120020011;1304
120020011;1312
120020011;1312
120020011;1320
120020011;1320
120020011;1346
120020011;1346
120020011;1353
120020011;1353
120020011;1361
120020011;1361
120020011;1379
120020011;1379
120020011;1387
120020011;1387
120020011;1395
120020011;1395
120020011;1403
120020011;1403
120020011;1411
120020011;1411
120020011;1429
120020011;1429
120020011;1437
120020011;1437
120020011;1452
120020011;1452
120020011;1460
120020011;1460
120020011;1478
120020011;1478
120020011;1494
120020011;1494
120020011;1502
120020011;1502
120020011;1510
120020011;1510
120020011;1528
120020011;1528
120020011;1536
120020011;1536
120020011;1569
120020011;1569
120020011;1593
120020011;1593
120020011;1601
120020011;1601
120020011;1619
120020011;1619
120020011;1627
120020011;1627
120020011;1643
120020011;1643
120020011;1668
120020011;1668
120020011;1759
120020011;1759
120020011;1825
120020011;1825
120020011;1833
120020011;1833
120020011;1890
120020011;1890
120020011;1916
120020011;1916
120020011;1924
120020011;1924
120020011;1932
120020011;1932
120020011;1957
120020011;1957
120020011;1981
120020011;1981
120020011;1999
120020011;1999
120020011;2005
120020011;2005
120020011;2021
120020011;2021
120020011;2054
120020011;2054
120020011;2104
120020011;2104
120020011;2112
